date,divisiononem,divisiononef,divisiontwom,divisiontwof,divisionthreem,divisionthreef
1981,96938,32103,71170,14734,112613,28989
1982,79144,27828,36713,13107,60965,23413
1983,82277,27577,38228,15077,65503,25533
1984,88007,29881,38257,15291,71182,28448
1985,86946,30804,37931,16271,71560,29439
1986,83124,31682,34418,14381,70019,28477
1987,79193,31146,31861,13871,65342,28926
1988,80714,32103,32970,14734,64837,28989
1989,79777,31693,32586,14456,63176,27988
1990,81276,33093,35716,15318,65844,29624
1991,81417,33915,36692,15813,65566,30603
1992,81294,35089,36535,15800,66903,32115
1993,84448,37825,38852,17195,63639,32441
1994,82633,39279,38386,17455,65588,34980
1995,85411,43915,45484,21654,75488,42677
1996,82556,44095,44274,21313,72562,41862
1997,83268,46140,43772,21960,72996,42641
1998,83255,50010,47189,24948,77240,46522
1999,84595,51713,45185,24002,78707,46685
2000,85928,53430,46807,26055,81454,49008
2001,84532,54135,45181,24514,80177,47951
2002,85882,56113,45928,24926,82654,49449
2003,85712,57017,46526,25929,82616,49379
2004,86378,57940,47250,26583,86116,51266
2005,86600,58319,50463,28502,87863,52400
2006,86688,58858,52441,29967,91130,53563
2007,88625,60587,53908,30430,94241,54704
2008,89628,61856,53812,30707,97382,56918
2009,90837,63495,55327,31943,99711,58122
2010,91013,65135,60877,34746,101056,59794
2011,91357,65334,63587,37173,102746,61060
2012,92997,66892,64032,37814,105220,63666
2013,94281,67602,65778,39482,107545,64725
2014,94200,68009,69370,42018,109491,65873
2015,94637,68505,70011,42533,110325,66159
2016,94682,69653,70522,43609,111409,66796
2017,96190,70375,70437,43190,111987,67213
2018,96938,70714,71170,43640,112613,68215