date,male,female
1981,280721,75826
1982,176822,64348
1983,186008,68187
1984,197446,73620
1985,196437,76514
1986,187561,74540
1987,176396,73943
1988,178521,75826
1989,175539,74137
1990,182836,78035
1991,183675,80331
1992,184732,83004
1993,186939,87461
1994,186607,91714
1995,206383,108246
1996,199392,107270
1997,200036,110741
1998,207684,121480
1999,208487,122400
2000,214189,128493
2001,209890,126600
2002,214464,130488
2003,214854,132325
2004,219744,135789
2005,224926,139221
2006,230259,142388
2007,236774,145721
2008,240822,149481
2009,245875,153560
2010,252946,159675
2011,257690,163567
2012,262249,168372
2013,267604,171809
2014,273061,175900
2015,274973,177197
2016,276613,180058
2017,278614,180778
2018,280721,182569