date,Baseball,Basketball,Cross C,Fencing,Football,Golf,Gymnastics,Ice Hockey,Lacrosse,Rifle,Skiiing,Soccer,Swimming,Tennis,"Track, In","Track,Out",Volleyball,Waterpolo,Wrestling
1981,36011,29161,21674,1165,73712,9614,1883,4323,17483,146,918,31475,17736,14756,35370,40907,11841,1072,7300
1982,19220,22607,14789,1864,45263,7716,3503,3927,7406,580,1447,16275,14054,14634,20777,28350,9422,1181,8155
1983,20357,23425,16052,2064,47220,8308,3268,3906,7781,941,1504,17463,15117,15591,22166,29663,9851,1101,8417
1984,22117,25438,17293,2093,49621,8632,3113,4486,8440,1148,1749,19357,16222,16153,23969,31103,10446,1114,8572
1985,22304,25329,17011,1988,50760,8459,2896,4691,8261,1067,1452,20968,16046,16009,24042,31285,10854,1128,8401
1986,21055,23251,16926,1756,51087,8014,2522,4386,7701,658,1323,19619,15831,15059,22739,30485,10363,1121,8205
1987,19279,22188,16244,1755,47201,7708,2312,3933,7503,562,1381,19205,15720,14613,22900,29646,9988,1170,7031
1988,19670,22548,16713,1471,47942,7666,2240,3842,7685,542,1161,19844,15965,14495,23856,30290,10259,1189,6969
1989,19566,22261,16276,1469,47828,7533,2157,3751,7663,491,1143,19555,15406,14286,22911,29419,10118,1106,6737
1990,20558,23366,16958,1391,49663,8049,2007,3685,7867,632,1159,21328,15610,14834,24575,30291,10655,1151,7092
1991,21204,23734,17272,1371,49793,8524,1872,3656,7945,585,1248,22039,15514,14657,25458,30460,10859,996,6819
1992,21746,24189,17772,1195,49768,8422,1790,3663,8313,429,982,23021,15835,14636,26298,31017,11104,978,6578
1993,22575,25060,18460,1168,50848,8693,1734,3556,8267,444,941,24467,15601,14886,27031,31730,11630,841,6468
1994,22419,27005,18740,1182,50956,8782,1665,3605,8626,443,968,26318,15177,14964,26949,31696,11734,747,6345
1995,24788,28879,21303,1338,54846,10108,1899,3980,9296,786,1339,30775,19171,16518,28642,39567,13286,1236,6872
1996,24791,28807,20279,1253,54956,9904,1721,4032,9775,367,1035,32085,16461,16244,28951,34775,13372,1344,6510
1997,24791,28842,21007,1158,54806,10177,1821,4253,10242,389,1057,33167,16737,15783,29627,35334,13504,1630,6452
1998,25679,30122,23000,1242,56541,10640,1865,4598,10948,531,1107,35746,17586,16245,32403,38621,14316,1653,6321
1999,25938,30319,22510,1275,57593,10803,1822,4738,11421,744,1185,36410,17468,15864,32730,37911,14218,1659,6279
2000,26195,30900,23500,1582,58711,11516,1813,5226,12023,783,1179,37738,17972,16255,34688,39853,14541,1967,6240
2001,26343,30407,22848,1219,58090,11078,1811,5141,11877,467,1035,38026,17586,15819,33817,38815,14222,1946,5943
2002,27048,30669,23603,1281,59640,11263,1679,5491,12524,460,1003,38706,17983,15732,35365,40166,14447,1906,5986
2003,27262,30624,23951,1263,59980,11366,1706,5382,12648,397,924,38949,17872,15667,36222,40527,14505,1991,5943
2004,28009,30957,24539,1319,60117,11781,1731,5522,13059,470,963,40417,18495,15815,37399,42074,14795,2132,5939
2005,28767,31667,25121,1290,61252,12231,1735,5700,13870,424,1028,41502,18782,16133,38225,42946,15220,2115,6139
2006,29486,31792,25505,1323,62459,12440,1796,5785,14764,411,1071,42558,19184,16409,39483,44414,15499,2041,6227
2007,30386,32388,25969,1280,64235,12411,1783,5902,15730,395,1114,43713,19620,16571,40759,45842,16013,2074,6310
2008,29816,32292,27116,1288,64879,12607,1790,6077,16485,392,1007,44958,20494,16679,42312,47373,16146,2070,6522
2009,30365,32431,28027,1321,66313,12840,1750,5886,17527,433,992,45420,20794,16835,44138,49377,16500,2089,6397
2010,31264,33208,29295,1260,67887,13001,1781,5993,18492,389,955,47244,21318,16958,46163,51413,17053,2211,6736
2011,31999,34024,29474,1296,69643,13285,1781,5947,19385,413,907,48151,21435,17154,47445,52643,17419,2234,6622
2012,32450,34170,29930,1301,70147,13472,1841,6054,21243,396,912,49449,21940,17076,49182,54148,17907,2172,6831
2013,33431,34639,30140,1317,71291,13730,1883,6116,23012,397,897,49960,21963,17109,50661,55266,18367,2252,6982
2014,34198,35286,30480,1329,72788,13875,1817,6246,24159,378,849,51472,22143,17171,51707,56974,18844,2196,7049
2015,34554,35277,30370,1368,73660,13969,1822,6391,24821,357,853,52161,21811,17025,52106,57382,19018,2150,7075
2016,34980,35244,30316,1347,73063,13899,1841,6554,25651,361,853,52624,22375,16693,53627,58502,19394,2172,7175
2017,35460,35430,29902,1381,73557,13984,1890,6629,26371,350,818,52883,22545,16446,53894,58716,19634,2263,7239
2018,36011,35325,29927,1364,73712,13921,1875,6854,27055,340,819,53809,22779,16381,54154,59240,20135,2289,7300