date,divisionone,divisiontwo,divisionthree
1981,129041,85904,141602
1982,106972,49820,84378
1983,109854,53305,91036
1984,117888,53548,99630
1985,117750,54202,100999
1986,114806,48799,98496
1987,110339,45732,94268
1988,112817,47704,93826
1989,111470,47042,91164
1990,114369,51034,95468
1991,115332,52505,96169
1992,116383,52335,99018
1993,122273,56047,96080
1994,121912,55841,100568
1995,129326,67138,118165
1996,126651,65587,114424
1997,129408,65732,115637
1998,133265,72137,123762
1999,136308,69187,125392
2000,139358,72862,130462
2001,138667,69695,128128
2002,141995,70854,132103
2003,142729,72455,131995
2004,144318,73833,137382
2005,144919,78965,140263
2006,145546,82408,144693
2007,149212,84338,148945
2008,151484,84519,154300
2009,154332,87270,157833
2010,156148,95623,160850
2011,156691,100760,163806
2012,159889,101846,168886
2013,161883,105260,172270
2014,162209,111388,175364
2015,163142,112544,176484
2016,164335,114131,178205
2017,166565,113627,179200
2018,167652,114810,180828